Poprawnych,Poprawionych,Zepsutych,Niewykryte
853,70,219,2
801,60,254,29
887,26,197,34
868,28,234,14
838,43,233,30
843,46,237,18
826,49,247,22
857,31,221,35
878,34,223,9
877,33,221,13
854,9,228,53
822,46,243,33
856,30,230,28
875,44,193,32
831,60,227,26
859,28,246,11
828,35,249,32
860,28,228,28
820,49,244,31
873,43,209,19
823,31,252,38
834,47,228,35
843,43,238,20
823,56,247,18
871,28,220,25
866,12,223,43
908,27,207,2
825,71,226,22
821,38,260,25
851,36,236,21
832,55,235,22
849,41,238,16
851,24,227,42
830,48,225,41
808,76,245,15
837,62,224,21
843,45,243,13
858,46,234,6
837,53,241,13
839,50,234,21
884,14,202,44
836,50,241,17
836,46,246,16
856,48,223,17
889,39,202,14
866,51,204,23
855,37,237,15
858,33,221,32
831,64,233,16
879,46,204,15
817,59,252,16
834,49,243,18
848,36,229,31
844,36,246,18
850,30,236,28
817,48,250,29
895,22,209,18
845,47,236,16
900,21,208,15
820,58,236,30
852,35,228,29
852,25,250,17
824,24,253,43
775,75,282,12
834,23,233,54
910,21,202,11
861,34,225,24
856,29,211,48
836,35,225,48
835,43,235,31
846,30,234,34
852,44,234,14
801,54,264,25
818,58,266,2
836,36,248,24
876,35,215,18
880,30,221,13
856,42,207,39
868,20,215,41
856,37,219,32
878,38,211,17
853,39,211,41
875,32,215,22
843,43,227,31
882,20,228,14
835,52,230,27
851,45,223,25
898,32,209,5
798,71,259,16
852,61,221,10
885,24,220,15
821,29,246,48
838,47,229,30
855,41,234,14
816,52,263,13
859,37,234,14
828,36,238,42
868,18,239,19
831,46,243,24
855,39,212,38
812,62,245,25
865,22,237,20
837,37,242,28
784,73,264,23
846,62,224,12
820,60,236,28
828,39,246,31
833,32,230,49
892,29,218,5
823,55,236,30
836,34,232,42
826,44,243,31
847,20,237,40
830,33,247,34
837,62,242,3
826,57,235,26
830,46,239,29
842,72,223,7
829,63,230,22
870,42,202,30
859,31,213,41
866,45,215,18
857,41,219,27
886,25,217,16
824,51,232,37
826,51,248,19
846,22,211,65
811,26,249,58
778,68,277,21
802,36,254,52
829,24,245,46
849,45,218,32
869,43,226,6
817,33,259,35
853,24,235,32
856,41,233,14
868,21,228,27
831,49,235,29
802,52,265,25
827,53,242,22
826,37,237,44
799,39,242,64
875,37,206,26
838,48,228,30
776,78,271,19
805,47,277,15
822,32,246,44
882,16,234,12
870,26,226,22
840,35,243,26
868,47,218,11
883,35,220,6
865,42,226,11
806,60,254,24
817,47,257,23
852,22,250,20
820,41,246,37
830,74,235,5
835,24,232,53
877,37,212,18
877,33,210,24
849,51,236,8
869,37,231,7
818,48,243,35
849,34,225,36
832,59,240,13
855,8,221,60
832,39,253,20
865,40,225,14
851,27,219,47
858,35,232,19
853,29,230,32
878,43,215,8
784,71,269,20
834,50,241,19
886,31,215,12
858,24,235,27
851,49,215,29
847,39,235,23
866,37,218,23
865,42,215,22
827,41,229,47
858,37,224,25
822,66,236,20
862,27,241,14
833,50,246,15
850,13,241,40
825,40,237,42
873,20,225,26
836,45,236,27
837,63,229,15
829,45,250,20
835,56,229,24
822,47,249,26
880,43,219,2
886,11,226,21
853,35,221,35
874,38,217,15
797,60,254,33
858,45,212,29
826,57,232,29
872,33,226,13
879,19,214,32
805,69,246,24
887,46,211,0
866,26,229,23
806,66,255,17
853,49,226,16
835,47,226,36
883,13,206,42
840,38,224,42
842,51,233,18
877,25,220,22
851,31,230,32
858,30,226,30
835,69,228,12
887,32,194,31
865,44,214,21
874,46,207,17
838,37,244,25
887,38,211,8
880,35,211,18
810,42,247,45
943,0,200,1
848,50,231,15
809,69,244,22
835,51,236,22
854,23,244,23
842,58,219,25
837,61,228,18
866,41,213,24
903,32,203,6
818,49,263,14
820,49,270,5
854,31,240,19
784,71,268,21
800,62,263,19
869,36,223,16
868,26,224,26
822,33,250,39
839,47,251,7
843,46,223,32
869,37,227,11
824,53,232,35
853,32,230,29
845,31,238,30
839,32,245,28
874,34,215,21
857,41,227,19
804,53,240,47
828,42,227,47
845,51,226,22
865,29,229,21
817,39,263,25
804,34,261,45
859,40,223,22
858,22,242,22
869,24,225,26
846,44,230,24
831,59,222,32
822,56,236,30
878,55,198,13
825,49,255,15
844,36,242,22
814,67,258,5
865,34,233,12
828,55,227,34
874,35,221,14
882,36,204,22
812,54,254,24
859,16,234,35
853,52,224,15
850,52,237,5
860,29,218,37
818,41,251,34
862,26,217,39
874,32,217,21
855,29,213,47
824,64,252,4
861,37,230,16
842,50,221,31
863,34,218,29
841,72,205,26
851,36,235,22
848,45,232,19
820,59,245,20
864,40,228,12
834,62,228,20
818,51,248,27
832,54,232,26
846,41,229,28
892,21,206,25
845,49,225,25
850,34,231,29
922,2,216,4
817,48,255,24
872,20,222,30
836,39,237,32
842,54,227,21
811,77,237,19
875,40,206,23
840,36,233,35
797,61,256,30
849,36,235,24
836,43,228,37
816,57,259,12
842,54,234,14
874,28,216,26
856,39,211,38
879,25,205,35
831,32,249,32
828,49,233,34
827,39,226,52
879,41,217,7
848,15,207,74
839,47,241,17
841,46,239,18
811,45,265,23
819,22,238,65
886,11,223,24
833,39,237,35
835,33,244,32
806,78,246,14
789,54,269,32
859,22,234,29
818,58,243,25
842,46,240,16
802,71,254,17
869,38,218,19
860,23,236,25
801,62,266,15
836,31,243,34
865,42,226,11
883,34,216,11
862,39,229,14
823,60,246,15
857,52,225,10
864,33,227,20
840,29,249,26
810,58,239,37
773,57,277,37
809,35,260,40
825,58,240,21
851,61,221,11
832,47,224,41
814,35,246,49
842,29,248,25
883,21,220,20
843,47,236,18
864,62,194,24
837,59,246,2
928,1,214,1
782,57,264,41
824,48,242,30
820,47,241,36
864,33,229,18
810,74,242,18
814,45,238,47
853,38,232,21
849,33,235,27
842,34,224,44
858,40,223,23
857,39,234,14
819,52,259,14
843,23,246,32
863,34,226,21
828,52,233,31
844,33,211,56
905,30,206,3
821,45,235,43
870,41,210,23
831,54,246,13
791,57,270,26
862,15,231,36
896,30,216,2
839,36,231,38
855,39,225,25
836,45,245,18
811,72,257,4
872,30,238,4
836,30,236,42
794,64,267,19
857,42,214,31
863,45,227,9
817,64,239,24
814,60,253,17
812,39,251,42
873,52,213,6
829,51,250,14
870,39,218,17
839,58,233,14
794,56,266,28
807,67,248,22
848,70,211,15
827,58,231,28
835,40,248,21
822,46,245,31
890,19,218,17
817,49,262,16
836,51,249,8
864,2,241,37
848,42,235,19
872,37,226,9
830,37,233,44
840,53,233,18
840,63,235,6
846,42,243,13
893,7,210,34
854,51,228,11
827,53,253,11
825,60,238,21
838,53,219,34
889,51,200,4
839,63,232,10
827,49,252,16
866,29,246,3
851,27,241,25
813,74,254,3
839,44,229,32
874,15,207,48
863,29,226,26
823,35,241,45
814,47,253,30
856,50,213,25
877,29,195,43
831,28,253,32
860,22,242,20
826,41,230,47
849,43,232,20
885,37,206,16
854,50,226,14
877,29,231,7
856,44,239,5
874,41,225,4
843,39,220,42
837,32,224,51
859,42,216,27
893,14,208,29
852,53,224,15
856,35,234,19
855,32,242,15
863,53,220,8
832,47,248,17
858,44,235,7
837,33,248,26
817,49,254,24
863,47,224,10
829,45,226,44
822,54,228,40
832,45,239,28
800,60,266,18
811,71,255,7
814,66,244,20
853,52,214,25
892,23,209,20
844,57,227,16
845,50,230,19
801,62,246,35
881,42,215,6
805,56,264,19
872,54,205,13
870,23,219,32
880,47,203,14
815,59,243,27
838,44,225,37
854,20,223,47
842,17,236,49
853,50,222,19
829,42,229,44
842,57,229,16
800,75,254,15
866,32,220,26
869,36,230,9
821,46,248,29
794,56,259,35
844,33,242,25
905,19,213,7
809,58,248,29
849,56,234,5
812,58,238,36
861,38,231,14
862,50,213,19
839,59,230,16
871,20,242,11
812,26,254,52
875,42,210,17
860,53,200,31
863,37,225,19
868,40,223,13
834,53,243,14
843,55,218,28
860,63,215,6
838,56,218,32
822,49,229,44
837,43,231,33
837,54,238,15
760,85,285,14
865,34,232,13
825,44,257,18
844,27,240,33
825,49,243,27
824,56,242,22
830,34,254,26
843,41,245,15
830,32,254,28
820,48,235,41
865,43,223,13
862,9,206,67
843,43,237,21
816,46,254,28
877,38,225,4
812,51,253,28
858,57,219,10
866,44,219,15
879,44,211,10
849,60,221,14
856,47,218,23
872,23,219,30
841,41,221,41
844,36,250,14
853,69,208,14
889,11,214,30
831,40,237,36
876,42,214,12
869,36,232,7
830,42,226,46
871,28,210,35
838,45,244,17
845,58,223,18
845,41,238,20
862,25,226,31
860,24,224,36
857,36,227,24
843,23,234,44
823,60,232,29
880,21,212,31
846,39,247,12
862,23,229,30
818,69,242,15
837,56,240,11
887,22,224,11
824,54,248,18
900,19,209,16
845,48,220,31
807,55,258,24
854,42,213,35
870,38,226,10
829,73,221,21
865,36,227,16
854,56,224,10
827,59,252,6
855,39,221,29
894,47,196,7
809,60,245,30
848,34,231,31
811,57,236,40
831,27,240,46
860,30,232,22
856,41,238,9
857,35,220,32
861,28,217,38
865,20,233,26
796,47,268,33
827,60,235,22
866,35,232,11
851,19,224,50
857,33,216,38
795,67,271,11
790,87,259,8
896,28,212,8
846,37,230,31
873,30,214,27
881,34,215,14
791,63,256,34
827,63,226,28
815,45,236,48
830,58,221,35
844,47,231,22
811,46,244,43
849,36,236,23
828,55,248,13
817,57,232,38
828,41,245,30
840,30,238,36
854,44,219,27
832,53,246,13
838,39,246,21
828,38,249,29
829,49,260,6
822,63,238,21
855,23,243,23
843,39,224,38
830,37,241,36
890,38,206,10
802,46,264,32
861,30,245,8
876,22,201,45
796,54,257,37
786,58,269,31
793,68,248,35
843,49,249,3
836,38,240,30
841,50,233,20
833,18,211,82
843,57,223,21
878,38,217,11
828,73,221,22
862,31,220,31
902,12,212,18
870,38,214,22
840,57,220,27
855,45,216,28
879,55,196,14
853,34,236,21
839,48,235,22
819,57,243,25
840,45,222,37
810,66,241,27
848,45,225,26
844,39,245,16
855,28,238,23
813,55,247,29
840,66,208,30
847,35,234,28
833,42,252,17
850,26,243,25
842,53,219,30
821,46,246,31
837,41,240,26
808,33,259,44
787,44,268,45
837,46,235,26
880,35,213,16
841,50,242,11
855,30,238,21
813,64,249,18
854,46,218,26
858,34,238,14
797,62,249,36
827,39,255,23
784,55,262,43
828,46,235,35
835,42,242,25
846,45,241,12
833,38,238,35
812,59,259,14
829,38,246,31
813,44,265,22
841,26,231,46
778,67,271,28
885,29,215,15
825,50,254,15
852,44,227,21
865,54,208,17
875,37,227,5
844,53,229,18
826,63,232,23
835,66,235,8
841,19,231,53
831,44,247,22
859,41,223,21
863,48,229,4
863,30,217,34
859,50,221,14
862,31,233,18
853,35,237,19
838,34,222,50
875,32,201,36
868,26,222,28
847,32,240,25
858,39,219,28
837,34,227,46
867,33,213,31
849,49,228,18
861,34,221,28
855,38,246,5
835,28,241,40
837,50,240,17
864,24,224,32
844,35,228,37
857,14,200,73
844,16,224,60
818,50,245,31
854,37,225,28
822,36,247,39
863,29,230,22
852,61,226,5
842,36,225,41
853,27,218,46
810,58,250,26
886,42,216,0
806,65,245,28
816,60,251,17
902,19,204,19
879,18,210,37
819,77,234,14
809,57,242,36
857,45,222,20
815,58,239,32
896,18,219,11
852,51,224,17
835,37,242,30
828,43,239,34
813,49,259,23
856,41,224,23
914,28,191,11
830,55,242,17
847,22,221,54
871,36,225,12
836,46,252,10
838,53,231,22
902,15,204,23
848,68,208,20
864,22,226,32
880,11,236,17
875,18,235,16
795,54,261,34
835,46,236,27
865,34,221,24
878,34,226,6
837,57,220,30
885,21,222,16
844,26,238,36
796,59,264,25
848,28,227,41
877,35,190,42
834,57,235,18
838,53,229,24
860,49,210,25
814,82,240,8
830,24,245,45
837,35,249,23
886,12,231,15
817,36,253,38
817,35,249,43
841,19,243,41
881,30,213,20
824,59,251,10
853,18,213,60
841,31,232,40
810,48,256,30
837,48,227,32
882,24,227,11
848,38,219,39
833,35,232,44
888,26,214,16
813,49,237,45
801,55,254,34
809,55,251,29
829,54,235,26
849,62,214,19
874,38,213,19
831,34,251,28
845,42,225,32
835,42,243,24
812,42,247,43
859,44,228,13
825,75,227,17
855,35,242,12
868,19,222,35
823,49,247,25
836,34,230,44
849,39,229,27
854,38,229,23
832,57,243,12
851,41,232,20
866,34,227,17
848,62,225,9
817,26,260,41
731,82,315,16
836,49,247,12
844,26,237,37
810,62,248,24
795,66,266,17
825,39,256,24
853,47,208,36
838,49,225,32
805,75,253,11
762,79,290,13
849,35,239,21
789,49,270,36
859,34,238,13
849,40,223,32
879,29,224,12
810,47,269,18
824,31,222,67
864,43,213,24
846,41,234,23
820,73,236,15
852,43,241,8
879,41,204,20
865,44,203,32
806,47,263,28
829,55,234,26
830,70,228,16
869,30,223,22
852,45,215,32
875,21,230,18
828,32,228,56
853,32,238,21
886,16,221,21
806,61,259,18
844,36,241,23
830,44,259,11
886,35,215,8
857,44,225,18
826,33,237,48
843,52,228,21
851,43,220,30
871,42,217,14
852,58,212,22
853,29,237,25
822,47,254,21
844,49,234,17
837,69,218,20
799,67,258,20
826,49,249,20
846,35,226,37
815,59,241,29
864,40,240,0
833,32,246,33
852,26,219,47
857,42,234,11
872,38,221,13
821,71,234,18
836,53,242,13
822,55,245,22
859,25,224,36
858,43,223,20
840,35,229,40
855,40,238,11
873,31,223,17
838,33,235,38
868,40,225,11
843,44,237,20
878,24,224,18
829,39,254,22
865,49,213,17
829,52,232,31
832,38,232,42
878,37,223,6
871,49,209,15
851,55,201,37
840,34,218,52
834,39,229,42
875,26,230,13
852,31,231,30
844,33,229,38
830,49,219,46
871,35,219,19
821,65,238,20
870,24,207,43
861,58,217,8
850,52,205,37
817,50,256,21
806,48,266,24
837,67,223,17
833,51,232,28
882,17,228,17
859,39,222,24
799,58,257,30
837,37,256,14
856,32,252,4
826,27,250,41
824,64,250,6
817,36,250,41
816,62,236,30
844,52,225,23
817,60,257,10
877,40,214,13
851,41,237,15
826,45,256,17
831,29,238,46
845,44,229,26
849,29,254,12
865,30,212,37
869,61,197,17
806,53,244,41
842,52,231,19
830,31,230,53
842,45,253,4
892,31,203,18
818,48,244,34
864,29,223,28
860,28,225,31
868,42,229,5
831,34,230,49
836,50,216,42
918,19,207,0
843,33,233,35
883,31,222,8
833,46,244,21
875,36,226,7
847,43,233,21
860,44,234,6
877,24,215,28
835,51,217,41
872,24,229,19
832,32,235,45
825,46,241,32
890,16,215,23
843,51,236,14
841,36,241,26
792,61,259,32
807,44,265,28
816,47,246,35
884,26,202,32
880,29,210,25
879,24,204,37
887,28,220,9
828,46,228,42
866,42,231,5
816,55,257,16
798,56,270,20
820,55,256,13
891,7,217,29
863,43,227,11
816,47,249,32
844,38,242,20
846,33,239,26
864,35,216,29
855,55,210,24
828,58,235,23
806,65,250,23
832,48,246,18
847,44,221,32
840,48,231,25
842,37,239,26
857,39,230,18
808,50,266,20
845,35,242,22
866,44,214,20
808,65,244,27
818,53,233,40
828,33,258,25
815,50,259,20
838,54,228,24
869,29,237,9
843,33,238,30
849,33,228,34
861,19,237,27
810,51,261,22
840,34,254,16
808,56,257,23
858,29,219,38
861,48,220,15
845,33,222,44
830,71,237,6
785,67,261,31
810,67,260,7
832,31,243,38
861,38,220,25
852,21,212,59
824,39,235,46
810,39,243,52
829,44,254,17
860,43,214,27
855,15,245,29
831,11,243,59
834,41,250,19
850,37,231,26
842,32,243,27
861,16,235,32
809,55,258,22
813,26,243,62
871,28,230,15
848,41,228,27
870,41,218,15
835,57,232,20
808,60,251,25
889,43,207,5
843,38,241,22
867,55,212,10
835,65,228,16
862,55,210,17
814,60,237,33
834,75,233,2
858,36,223,27
831,35,243,35
835,43,229,37
854,24,221,45
786,75,264,19
882,23,214,25
902,21,203,18
869,36,213,26
813,40,265,26
823,57,249,15
863,28,216,37
877,20,217,30
862,42,221,19
855,65,221,3
890,36,218,0
856,27,239,22
815,55,256,18
823,66,237,18
869,17,228,30
847,38,246,13
806,41,258,39
841,44,236,23
873,41,206,24
